timestamp,pose,dx,dy,scale,true_pose
2025-11-12 20:10:58.481714,L,2,-16,0.89,
2025-11-12 20:10:58.523332,L,2,-16,0.89,
2025-11-12 20:10:58.544967,L,2,-17,0.894,
2025-11-12 20:10:58.582324,L,2,-16,0.891,
2025-11-12 20:10:58.615017,L,2,-16,0.885,
2025-11-12 20:10:58.651933,L,2,-15,0.89,
2025-11-12 20:10:58.675317,L,2,-15,0.886,
2025-11-12 20:10:58.711822,L,3,-15,0.891,
2025-11-12 20:10:58.742449,L,3,-15,0.882,
2025-11-12 20:10:58.781903,L,3,-15,0.882,
2025-11-12 20:10:58.815695,L,2,-14,0.886,
2025-11-12 20:10:58.854224,L,2,-14,0.886,
2025-11-12 20:10:58.887925,L,2,-14,0.886,
2025-11-12 20:10:58.921730,L,2,-13,0.886,
2025-11-12 20:10:58.954461,L,1,-13,0.886,
2025-11-12 20:10:58.981903,L,1,-12,0.886,
2025-11-12 20:10:59.021621,normal,0,-11,0.909,
2025-11-12 20:10:59.052293,normal,0,-10,0.909,
2025-11-12 20:10:59.085487,normal,0,-9,0.914,
2025-11-12 20:10:59.112669,normal,-1,-7,0.914,
2025-11-12 20:10:59.155688,normal,-3,-7,0.922,
2025-11-12 20:10:59.185540,normal,-1,-6,0.931,
2025-11-12 20:10:59.211618,normal,-3,-7,0.946,
2025-11-12 20:10:59.251642,normal,-2,-6,0.945,
2025-11-12 20:10:59.287906,normal,-3,-5,0.94,
2025-11-12 20:10:59.316852,normal,-4,-5,0.958,
2025-11-12 20:10:59.354158,normal,-4,-4,0.958,
2025-11-12 20:10:59.385784,normal,-4,-4,0.957,
2025-11-12 20:10:59.412311,normal,-3,-2,0.976,
2025-11-12 20:10:59.457770,normal,-3,-1,0.995,
2025-11-12 20:10:59.487498,normal,-3,0,0.991,
2025-11-12 20:10:59.521148,normal,-2,1,0.995,
2025-11-12 20:10:59.554176,normal,-2,0,1.0,
2025-11-12 20:10:59.587677,normal,-2,2,0.996,
2025-11-12 20:10:59.612603,normal,-2,2,1.0,
2025-11-12 20:10:59.654657,normal,-2,2,1.014,
2025-11-12 20:10:59.687478,normal,-2,3,1.014,
2025-11-12 20:10:59.720941,normal,-2,4,1.01,
2025-11-12 20:10:59.752189,normal,-2,3,1.014,
2025-11-12 20:10:59.782282,normal,-2,4,1.028,
2025-11-12 20:10:59.821658,normal,-2,5,1.024,
2025-11-12 20:10:59.854181,normal,-1,5,1.029,
2025-11-12 20:10:59.887417,normal,-1,5,1.024,
2025-11-12 20:10:59.913255,normal,-2,6,1.024,
2025-11-12 20:10:59.954156,normal,-2,5,1.028,
2025-11-12 20:10:59.981958,normal,-1,5,1.028,
2025-11-12 20:11:00.024488,normal,-1,5,1.028,
2025-11-12 20:11:00.060677,normal,-1,5,1.028,
2025-11-12 20:11:00.091753,normal,0,5,1.028,
2025-11-12 20:11:00.137668,normal,-1,6,1.02,
2025-11-12 20:11:00.169841,normal,-1,6,1.028,
2025-11-12 20:11:00.204076,normal,0,6,1.019,
2025-11-12 20:11:00.237463,normal,1,6,1.044,
2025-11-12 20:11:00.265923,normal,0,5,1.024,
2025-11-12 20:11:00.303652,normal,-1,6,1.014,
2025-11-12 20:11:00.337326,normal,0,7,1.025,
2025-11-12 20:11:00.365850,normal,0,6,1.024,
2025-11-12 20:11:00.391842,normal,0,6,1.02,
2025-11-12 20:11:00.432190,normal,-1,5,1.024,
2025-11-12 20:11:00.462283,normal,-1,7,1.029,
2025-11-12 20:11:00.492214,normal,-1,6,1.019,
2025-11-12 20:11:00.532064,normal,-1,6,1.02,
2025-11-12 20:11:00.570600,normal,-1,6,1.024,
2025-11-12 20:11:00.602013,normal,-1,6,1.024,
2025-11-12 20:11:00.641965,normal,-1,6,1.029,
2025-11-12 20:11:00.687025,normal,-1,6,1.024,
2025-11-12 20:11:00.723942,normal,-1,6,1.029,
2025-11-12 20:11:00.765821,normal,-1,6,1.024,
2025-11-12 20:11:00.802439,normal,-1,5,1.024,
2025-11-12 20:11:00.837218,normal,-1,5,1.024,
2025-11-12 20:11:00.889916,normal,-1,5,1.024,
